Euclid_ID,DES_ID,DDLR,HOST_DDLR,right_ascension,declination,HOST_RA,HOST_DEC,SN_RA,SN_DEC
-540257709277465828,1871017,1.5033198133786825,1.427,54.02577097518636,-27.74658287497214,54.025715,-27.74655,54.025879,-27.746033
-524658385277288383,1900801,0.9495999271518908,0.517,52.46583856233606,-27.728838303442107,52.465832,-27.728773,52.465889,-27.72867
-537264115276222114,1246281,4.694700666849294,2.766,53.72641150429149,-27.62221144914112,53.726334,-27.622108,53.725414,-27.622061
-539363100280254085,1263139,1.5765772910452114,1.325,53.93631008228241,-28.02540858457356,53.936253,-28.025343,53.936279,-28.025551
-526324930288079615,1413048,1.8690817263249209,0.779,52.63249308037955,-28.80796153738209,52.632442,-28.807919,52.632256,-28.807838
-539003188269689817,1257366,1.2591798102858935,1.445,53.90031881206742,-26.96898170598332,53.900276,-26.96896,53.899559,-26.969273
-529459608288169875,1256028,0.9108480486466006,0.454,52.94596089341929,-28.816987596735903,52.945942,-28.816916,52.945858,-28.816963
-540001819280780860,1320474,3.733961132596381,0.601,54.000181957536576,-28.07808608761484,54.000061,-28.078136,53.999931,-28.078095
-523743069283278673,1263130,0.49827924041957,0.401,52.3743069375422,-28.32786734359862,52.374233,-28.327822,52.374332,-28.327791
-528847823288618506,1435094,2.7036740477792853,2.719,52.88478235694727,-28.861850696783144,52.884743,-28.861792,52.884792,-28.862623
-537367327271408881,1326367,1.2027571223751363,1.702,53.73673278920705,-27.140888169700663,53.736694,-27.140879,53.73613,-27.140719
-541107154279155651,1330530,2.6313629695275957,1.07,54.11071547139242,-27.915565181758804,54.110645,-27.91552,54.110844,-27.915379
-524489708289763138,1277710,0.482146414160475,0.064,52.44897083895091,-28.97631380451697,52.448914,-28.976282,52.448898,-28.976278
-534347156278135568,1254108,1.957652999388436,1.903,53.43471568186101,-27.813556845660543,53.434677,-27.813511,53.434582,-27.813009
-533257027278643173,1508029,1.7426211345344935,1.307,53.32570275035121,-27.86431733773226,53.325661,-27.864252,53.325958,-27.864143
-522314683290347731,1375087,2.0053763257237907,0.215,52.23146837620532,-29.03477311003477,52.231216,-29.034784,52.23122,-29.034729
-523514243290617747,1899442,4.717471202480128,2.292,52.351424334524346,-29.061774790885856,52.351391,-29.061783,52.351849,-29.061256
-534860540282082311,1562077,1.790823363682949,0.415,53.48605401040938,-28.20823116142238,53.486023,-28.208179,53.485966,-28.208237
-536656385281827745,1339220,0.9372053121453896,1.581,53.66563854657219,-28.182774579491102,53.665604,-28.182732,53.665455,-28.183355
-538187510278230317,1929024,1.2145928467741538,1.049,53.818751031436776,-27.823031790231106,53.818714,-27.822989,53.819077,-27.822889
-535500606281800793,1277716,0.2840048211122132,0.574,53.55006062573231,-28.18007933703533,53.550053,-28.18001,53.549919,-28.179991
-539121805283190725,1299785,1.80195243629885,1.858,53.912180575454535,-28.31907255408968,53.912125,-28.319021,53.911511,-28.319296
-537644492286937885,1920365,4.093152780159124,3.42,53.764449293911404,-28.69378852249217,53.764412,-28.693748,53.765621,-28.693724
-536072550283081845,1590133,2.2043849715224355,1.133,53.60725508026468,-28.30818454435527,53.607262,-28.308187,53.607067,-28.308249
-536306301296490251,1292145,0.2145902719952418,0.28,53.63063016242517,-29.64902517906047,53.630566,-29.648985,53.630531,-29.648947
-532567312282265413,1277995,4.19626385026092,0.331,53.25673124762163,-28.22654131426568,53.256645,-28.226553,53.256615,-28.226488
-532566707282266238,1277995,0.5487901713161945,0.331,53.25667070248273,-28.226623895401268,53.256645,-28.226553,53.256615,-28.226488
-535243864295447444,1304779,1.0310709475397046,1.125,53.52438646409791,-29.544744440849463,53.524357,-29.544712,53.524139,-29.544495
